epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.923,0.98392,1.868,1.0218,0.92598,0.63777,0.87231,0.65047,0.81312,2.45055,0.92611,0.000659341,0.000659341,0.000659341
2,626.47,0.95536,1.14263,0.97368,0.983,0.90588,0.9797,0.76193,0.84058,1.08066,0.94419,0.00128225,0.00128225,0.00128225
3,940.065,0.93533,0.90293,0.98201,0.76994,0.84314,0.89307,0.68592,0.85546,1.95432,0.96108,0.00186116,0.00186116,0.00186116
4,1252.54,0.93848,0.77673,0.99565,0.96845,0.96287,0.98825,0.75994,0.82369,0.73298,0.96791,0.001802,0.001802,0.001802
5,1574.35,0.92672,0.71763,0.97935,0.97053,0.9451,0.98722,0.79074,0.76311,0.6912,0.90497,0.001736,0.001736,0.001736
